学号,性别,专业,每周学习时长（小时）,上课出勤率,期中考试分数,作业完成率,期末考试分数
2023027561,女,工商管理,18.71,0.66,77.98,0.96,73.66
2023027562,男,财务管理,22.03,0.6,83.22,0.97,80.74
2023027563,女,大数据管理,12.23,0.93,50.26,0.73,53.75
2023027564,女,人工智能,7.78,0.63,74.88,0.74,59.34
2023027565,男,大数据管理,17.91,0.64,100.0,0.76,75.0
2023027566,男,电子商务,26.46,0.9,50.42,0.95,72.76
2023027567,男,电子商务,25.42,0.7,59.89,0.91,68.35
2023027568,女,电子商务,22.07,0.91,82.79,0.93,86.15
2023027569,男,财务管理,24.52,0.77,52.07,0.87,41.56
2023027570,女,大数据管理,37.89,0.9,100.0,0.89,95.5
2023027571,男,电子商务,21.06,0.95,83.64,0.84,72.55
2023027572,女,大数据管理,27.0,0.77,72.46,0.89,85.51
2023027573,男,电子商务,24.66,0.62,76.01,0.75,75.5
2023027574,女,财务管理,14.06,0.69,58.93,0.94,62.91
2023027575,女,人工智能,22.49,0.98,52.5,0.87,61.84
2023027576,女,电子商务,31.72,0.68,75.66,0.97,81.19
2023027577,男,工商管理,16.34,0.87,77.34,0.89,65.5
2023027578,男,财务管理,15.25,0.88,68.92,0.72,65.22
2023027579,女,电子商务,11.14,0.86,67.08,0.84,59.59
2023027580,男,电子商务,12.75,0.92,96.14,0.95,100.0
2023027581,女,工商管理,24.2,0.97,83.72,1.0,94.52
2023027582,女,财务管理,10.36,0.63,57.59,0.78,64.68
2023027583,男,人工智能,13.98,0.95,67.12,0.85,54.64
2023027584,男,财务管理,25.14,0.81,78.99,0.82,83.0
2023027585,女,工商管理,15.26,0.71,56.83,0.85,60.99
2023027586,女,大数据管理,5.0,0.92,60.97,0.83,70.81
2023027587,女,工商管理,16.95,0.85,91.45,0.96,84.07
2023027588,女,工商管理,27.42,0.83,70.69,0.86,74.35
2023027589,男,财务管理,25.05,0.68,67.85,0.85,71.22
2023027590,女,大数据管理,20.76,0.67,69.68,1.0,55.88
2023027591,女,财务管理,25.35,0.94,87.64,0.73,75.87
2023027592,女,电子商务,24.98,0.82,77.48,0.8,78.33
2023027593,女,工商管理,30.83,0.86,57.71,0.99,80.0
2023027594,女,大数据管理,7.95,0.91,64.23,0.75,55.88
2023027595,女,电子商务,26.1,0.87,95.76,0.92,87.5
2023027596,男,工商管理,14.16,0.8,86.25,0.97,63.03
2023027597,男,电子商务,16.12,0.81,77.27,0.99,85.91
2023027598,男,人工智能,17.83,0.65,90.42,0.89,86.31
2023027599,女,财务管理,17.89,0.67,57.76,0.74,64.37
2023027600,男,工商管理,40.0,0.86,54.26,0.87,75.45
2023027601,男,电子商务,22.44,0.79,77.02,0.98,88.32
2023027602,女,工商管理,26.08,0.67,84.79,0.91,73.11
2023027603,女,大数据管理,14.7,0.64,61.97,0.88,53.33
2023027604,女,工商管理,7.88,0.91,69.14,0.95,76.26
2023027605,男,人工智能,14.33,0.68,41.86,0.91,60.47
2023027606,男,人工智能,11.66,0.88,76.01,0.83,58.93
2023027607,男,大数据管理,25.45,0.86,76.05,0.97,74.38
2023027608,女,电子商务,10.32,0.87,82.94,0.83,87.28
2023027609,女,大数据管理,11.99,0.97,54.69,0.72,62.33
2023027610,女,人工智能,16.99,0.77,51.72,0.98,67.08
2023027611,男,电子商务,22.2,0.7,100.0,0.92,76.45
2023027612,女,工商管理,10.99,0.89,64.99,0.86,70.09
2023027613,女,大数据管理,5.0,0.69,60.51,0.96,44.05
2023027614,女,电子商务,7.66,0.63,65.33,0.97,42.25
2023027615,女,人工智能,22.52,0.94,89.91,0.73,86.8
2023027616,男,工商管理,14.68,0.67,68.69,0.77,75.47
2023027617,女,人工智能,22.51,0.9,38.96,0.91,55.89
2023027618,男,财务管理,25.52,0.91,55.15,0.74,61.08
2023027619,男,人工智能,10.11,0.93,78.59,0.78,85.26
2023027620,女,大数据管理,27.93,0.65,57.4,0.96,65.51
2023027621,男,工商管理,13.15,0.75,59.53,0.71,57.61
2023027622,男,大数据管理,17.06,0.67,87.3,0.98,91.02
2023027623,男,工商管理,16.95,0.65,45.85,0.91,51.94
2023027624,女,电子商务,9.23,0.78,56.8,0.96,53.26
2023027625,女,大数据管理,15.94,0.81,90.87,0.79,84.33
2023027626,女,电子商务,21.81,0.94,88.64,0.96,78.26
2023027627,女,工商管理,26.05,0.84,91.79,0.71,81.12
2023027628,男,人工智能,14.39,0.76,33.1,0.93,37.82
2023027629,女,大数据管理,14.3,0.93,83.31,1.0,79.29
2023027630,男,工商管理,5.0,0.74,87.19,1.0,72.83
2023027631,女,工商管理,22.32,0.98,49.52,0.71,68.8
2023027632,男,财务管理,12.74,0.96,72.33,0.99,79.19
2023027633,女,人工智能,9.12,0.95,80.9,0.85,77.07
2023027634,女,电子商务,22.17,0.84,72.14,0.82,75.18
2023027635,女,财务管理,35.78,0.62,90.68,0.75,83.38
2023027636,女,大数据管理,23.28,0.63,69.49,0.83,72.95
2023027637,男,工商管理,31.04,0.71,54.21,0.82,57.85
2023027638,女,大数据管理,16.23,0.76,63.82,0.82,44.07
2023027639,女,大数据管理,28.57,0.98,61.37,0.97,82.52
2023027640,男,电子商务,9.31,0.81,64.4,0.76,66.59
2023027641,男,电子商务,17.54,0.82,96.46,0.74,79.47
2023027642,男,工商管理,19.71,0.75,84.93,0.85,84.98
2023027643,男,工商管理,34.02,0.71,60.28,0.93,66.88
2023027644,男,人工智能,15.9,0.66,68.34,0.93,59.99
2023027645,女,财务管理,27.53,0.92,86.65,0.85,77.48
2023027646,男,人工智能,20.41,0.95,62.47,0.75,71.38
2023027647,男,工商管理,13.82,0.79,52.7,0.99,46.39
2023027648,女,大数据管理,5.0,0.81,87.39,0.72,62.39
2023027649,男,工商管理,21.86,0.81,82.89,0.83,79.29
2023027650,男,工商管理,6.75,0.95,55.43,0.81,46.32
2023027651,男,大数据管理,18.83,0.71,87.35,0.8,70.34
2023027652,男,人工智能,20.52,0.83,52.77,0.73,42.47
2023027653,男,电子商务,21.93,0.72,70.97,0.73,72.9
2023027654,女,财务管理,28.97,0.78,62.63,0.84,65.28
2023027655,女,工商管理,23.0,0.83,46.99,0.88,52.19
2023027656,女,电子商务,21.28,0.92,83.34,0.85,68.57
2023027657,女,人工智能,23.61,0.7,62.36,0.91,63.83
2023027658,女,财务管理,32.88,0.99,55.31,0.98,63.06
2023027659,女,工商管理,18.73,0.98,76.12,0.83,90.34
2023027660,女,大数据管理,28.14,0.94,43.3,0.92,46.44
2023027661,女,人工智能,9.65,0.6,82.48,0.76,62.43
2023027662,女,大数据管理,5.0,0.77,72.46,0.79,63.14
2023027663,女,工商管理,17.05,0.9,63.86,0.71,58.14
2023027664,男,财务管理,31.42,0.74,70.79,0.94,77.83
2023027665,男,大数据管理,23.72,0.71,73.1,0.93,66.91
2023027666,男,人工智能,17.71,0.78,50.57,0.94,72.59
2023027667,男,大数据管理,18.06,0.66,60.68,0.99,54.94
2023027668,男,电子商务,27.76,0.74,46.94,0.89,44.83
2023027669,男,人工智能,22.52,0.75,80.29,0.82,64.88
2023027670,女,财务管理,29.95,0.73,80.91,0.84,81.56
2023027671,女,电子商务,24.72,0.7,76.11,0.95,74.32
2023027672,女,大数据管理,34.82,0.91,93.44,0.78,94.41
2023027673,男,电子商务,17.16,0.82,83.32,0.87,79.66
2023027674,男,工商管理,30.31,0.76,88.49,0.81,78.49
2023027675,女,工商管理,16.66,0.97,68.5,0.85,65.87
2023027676,男,财务管理,18.11,0.6,81.49,0.82,68.09
2023027677,男,工商管理,5.0,0.91,85.28,0.99,91.42
2023027678,女,人工智能,24.41,0.89,53.41,0.91,71.21
2023027679,男,财务管理,14.13,0.99,67.93,0.84,84.73
2023027680,女,工商管理,15.88,0.69,77.39,0.83,76.48
2023027681,男,电子商务,17.14,0.7,72.64,0.97,69.43
2023027682,男,电子商务,18.75,0.86,38.25,0.72,43.95
2023027683,男,电子商务,30.65,0.89,86.21,0.75,84.48
2023027684,女,电子商务,19.7,0.79,49.35,0.94,59.96
2023027685,男,财务管理,31.64,0.65,85.16,0.74,78.59
2023027686,女,人工智能,12.6,0.93,81.82,0.84,72.0
2023027687,男,大数据管理,15.59,0.63,54.11,0.91,40.53
2023027688,女,电子商务,13.76,0.75,76.3,0.94,81.3
2023027689,男,电子商务,29.57,0.72,80.22,0.72,76.2
2023027690,女,电子商务,5.87,0.81,89.62,0.79,64.62
2023027691,男,工商管理,30.78,0.68,64.92,0.8,73.28
2023027692,男,大数据管理,22.0,0.84,60.85,0.86,60.28
2023027693,男,电子商务,14.61,0.67,79.45,1.0,76.92
2023027694,男,工商管理,15.45,0.95,86.61,0.96,87.17
2023027695,女,财务管理,24.53,0.61,79.15,0.97,83.18
2023027696,女,财务管理,23.89,0.93,84.3,0.84,79.43
2023027697,女,人工智能,17.38,0.77,58.79,0.76,57.71
2023027698,男,大数据管理,27.42,0.73,81.95,0.79,72.97
2023027699,女,大数据管理,12.96,0.92,90.3,0.91,72.73
2023027700,男,大数据管理,5.0,0.62,66.9,0.72,55.94
2023027701,男,工商管理,13.41,0.81,64.72,0.87,62.49
2023027702,男,大数据管理,27.93,0.71,84.59,0.95,75.1
2023027703,女,财务管理,33.34,0.68,86.68,0.87,75.67
2023027704,女,大数据管理,24.72,0.66,65.42,0.93,68.18
2023027705,女,大数据管理,8.21,0.7,53.59,0.75,48.68
2023027706,女,工商管理,10.34,0.95,85.29,0.89,65.11
2023027707,男,人工智能,11.87,0.86,83.88,0.71,78.7
2023027708,男,人工智能,14.05,0.7,59.31,0.86,75.34
2023027709,女,大数据管理,10.84,0.62,80.32,0.89,76.81
2023027710,女,大数据管理,24.22,0.7,67.72,0.85,63.81
2023027711,女,人工智能,19.37,0.89,71.36,0.71,68.87
2023027712,女,电子商务,7.87,0.66,62.06,0.76,70.4
2023027713,男,人工智能,19.97,0.94,98.1,0.95,78.0
2023027714,男,财务管理,29.32,0.68,85.05,0.9,86.41
2023027715,女,财务管理,24.84,0.79,49.99,0.78,50.11
2023027716,男,人工智能,5.0,0.67,43.88,0.95,64.69
2023027717,女,人工智能,30.86,0.81,88.84,0.97,83.56
2023027718,女,大数据管理,24.33,0.82,50.16,0.77,75.16
2023027719,男,工商管理,13.52,0.75,55.91,0.93,74.8
2023027720,女,电子商务,28.13,0.94,74.1,0.88,77.74
2023027721,女,财务管理,14.6,0.83,77.24,0.81,64.45
2023027722,男,财务管理,22.15,0.95,85.11,0.99,84.23
2023027723,女,财务管理,13.88,0.86,70.11,0.85,66.12
2023027724,女,电子商务,7.51,0.89,94.71,0.93,74.6
2023027725,女,电子商务,17.43,0.66,69.02,0.88,52.68
2023027726,女,工商管理,11.2,0.67,80.22,0.77,62.76
2023027727,男,工商管理,10.19,0.87,85.82,0.77,62.63
2023027728,女,人工智能,32.83,0.8,72.3,0.73,79.16
2023027729,女,工商管理,26.44,0.89,68.31,0.84,80.59
2023027730,男,大数据管理,19.58,0.73,84.68,0.73,79.94
2023027731,男,人工智能,34.75,0.96,94.76,0.74,92.35
2023027732,男,工商管理,31.08,0.77,91.12,0.71,77.36
2023027733,男,工商管理,29.88,0.73,97.46,0.73,87.07
2023027734,男,人工智能,7.92,0.78,80.78,0.91,76.88
2023027735,女,工商管理,14.39,0.65,73.43,0.81,60.78
2023027736,女,人工智能,23.66,0.85,82.71,0.89,80.16
2023027737,女,大数据管理,22.49,0.73,100.0,0.8,83.09
2023027738,男,人工智能,16.42,0.87,74.84,0.96,86.87
2023027739,女,工商管理,5.38,0.88,77.93,0.99,77.71
2023027740,男,工商管理,14.67,1.0,68.96,0.87,75.02
2023027741,女,人工智能,10.2,0.72,59.24,0.96,44.64
2023027742,女,财务管理,18.09,0.82,80.78,0.9,76.58
2023027743,男,工商管理,29.12,0.96,69.78,0.91,76.49
2023027744,男,财务管理,40.0,0.8,57.85,0.98,74.7
2023027745,女,电子商务,21.72,0.78,94.47,0.85,70.25
2023027746,男,人工智能,34.52,0.67,57.96,0.75,60.38
2023027747,男,人工智能,35.08,0.62,66.01,0.87,72.57
2023027748,女,人工智能,17.17,0.88,67.69,0.99,79.81
2023027749,女,人工智能,15.02,0.72,87.02,0.81,68.88
2023027750,女,工商管理,5.0,0.6,88.28,0.77,63.43
2023027751,女,大数据管理,8.75,0.87,59.0,0.8,75.19
2023027752,女,大数据管理,32.11,0.81,77.24,0.93,78.76
2023027753,女,财务管理,21.44,0.72,76.5,0.85,71.56
2023027754,女,财务管理,24.81,0.93,74.68,0.98,77.51
2023027755,男,大数据管理,5.2,0.62,62.1,0.83,42.63
2023027756,男,财务管理,23.24,0.81,67.61,0.93,75.96
2023027757,男,电子商务,18.66,0.61,83.11,0.82,67.06
2023027758,男,大数据管理,12.86,0.68,77.96,0.79,67.14
2023027759,男,工商管理,18.0,0.71,89.45,0.83,80.47
2023027760,男,财务管理,24.46,0.91,98.62,0.86,100.0
2023027761,男,人工智能,24.96,0.8,85.02,0.84,69.57
2023027762,男,电子商务,28.25,0.91,79.77,0.98,88.68
2023027763,男,人工智能,18.56,0.87,98.9,0.92,92.75
2023027764,男,财务管理,28.01,0.95,80.9,0.81,76.37
2023027765,男,财务管理,5.15,0.86,75.09,0.96,73.11
2023027766,男,工商管理,18.67,0.83,75.53,0.74,84.04
2023027767,女,电子商务,21.11,0.83,64.43,0.88,62.41
2023027768,女,电子商务,22.48,0.65,80.52,0.93,77.08
2023027769,男,工商管理,25.57,0.99,100.0,0.86,93.63
2023027770,女,工商管理,35.77,0.98,79.07,0.75,86.83
2023027771,男,电子商务,30.89,0.68,86.19,0.93,88.05
2023027772,男,大数据管理,27.55,0.65,94.59,0.9,85.46
2023027773,女,财务管理,17.8,0.67,82.09,0.99,78.98
2023027774,女,财务管理,19.71,0.88,69.72,0.83,63.09
2023027775,女,财务管理,18.17,0.63,77.29,0.97,73.11
2023027776,男,电子商务,13.48,0.69,72.52,0.98,63.91
2023027777,男,电子商务,7.59,0.81,65.03,0.96,51.6
2023027778,男,工商管理,18.43,0.72,95.92,0.82,76.07
2023027779,男,电子商务,35.4,0.82,65.14,0.98,79.1
2023027780,男,大数据管理,23.45,0.97,82.41,0.92,84.56
2023027781,女,人工智能,16.82,0.67,93.85,0.79,68.85
2023027782,女,大数据管理,9.81,0.85,95.16,0.73,70.16
2023027783,男,电子商务,23.02,0.82,55.64,0.98,71.87
2023027784,男,人工智能,7.58,0.73,100.0,0.89,82.84
2023027785,女,人工智能,19.56,0.66,64.64,1.0,74.08
2023027786,男,人工智能,14.93,0.78,68.94,0.77,76.85
2023027787,女,电子商务,9.96,0.86,87.69,0.79,78.56
2023027788,男,电子商务,14.15,0.91,78.21,0.85,69.1
2023027789,女,电子商务,24.95,0.76,58.75,0.99,68.95
2023027790,男,电子商务,35.2,0.94,79.92,0.8,94.39
2023027791,女,人工智能,11.32,0.94,81.58,0.93,99.0
2023027792,女,财务管理,20.58,0.69,64.66,0.88,69.76
2023027793,男,财务管理,17.33,0.65,82.59,0.85,76.84
2023027794,女,财务管理,24.93,0.85,100.0,0.7,91.11
2023027795,男,工商管理,11.14,0.79,76.03,0.97,70.23
2023027796,男,财务管理,23.75,0.98,70.93,0.71,81.58
2023027797,男,工商管理,30.82,0.85,78.73,0.87,87.46
2023027798,女,财务管理,23.95,0.64,69.09,0.78,70.47
2023027799,女,大数据管理,19.25,0.7,76.8,0.74,67.02
2023027800,男,电子商务,10.73,0.66,84.53,0.91,59.53
2023027801,男,大数据管理,10.39,0.88,85.0,0.73,78.43
2023027802,男,工商管理,8.85,0.88,82.43,0.97,75.32
2023027803,男,人工智能,20.76,0.76,89.79,0.91,74.49
2023027804,男,财务管理,23.99,0.74,69.17,0.77,60.73
2023027805,男,人工智能,13.47,0.82,72.82,0.88,74.32
2023027806,男,大数据管理,22.01,0.64,88.09,0.95,66.39
2023027807,女,大数据管理,11.19,0.85,62.91,0.76,63.86
2023027808,男,大数据管理,17.67,0.73,68.3,0.7,71.46
2023027809,男,工商管理,6.54,0.88,84.05,0.83,75.99
2023027810,男,工商管理,34.26,0.86,100.0,0.79,89.31
2023027811,女,财务管理,5.0,0.89,33.25,0.83,33.07
2023027812,女,电子商务,23.41,0.79,74.32,0.94,79.36
2023027813,女,财务管理,18.8,0.88,72.17,0.83,80.93
2023027814,男,电子商务,32.04,0.88,80.09,0.88,78.66
2023027815,男,大数据管理,6.98,0.86,47.05,0.93,58.59
2023027816,男,人工智能,20.01,0.73,48.35,0.83,70.23
2023027817,女,大数据管理,13.7,0.73,82.39,0.8,74.02
2023027818,男,人工智能,18.19,0.83,66.86,0.71,62.5
2023027819,男,工商管理,5.55,0.63,75.48,0.84,72.36
2023027820,女,人工智能,19.02,0.74,76.89,0.9,66.52
2023027821,女,大数据管理,21.25,0.77,80.42,0.88,65.23
2023027822,男,大数据管理,40.0,0.83,45.24,0.72,70.24
2023027823,男,电子商务,13.3,0.62,100.0,0.89,75.88
2023027824,男,电子商务,19.42,0.73,63.39,0.76,61.16
2023027825,女,财务管理,9.47,1.0,49.11,0.8,50.63
2023027826,男,人工智能,32.75,0.97,47.53,0.93,65.36
2023027827,男,人工智能,26.97,0.82,62.23,0.98,81.82
2023027828,男,工商管理,16.92,0.7,66.37,0.96,80.39
2023027829,男,工商管理,29.23,0.79,100.0,0.93,100.0
2023027830,男,人工智能,5.37,0.94,97.38,0.91,89.45
2023027831,男,工商管理,5.63,0.87,59.99,0.75,61.52
2023027832,女,工商管理,31.24,0.64,100.0,0.72,76.06
2023027833,女,大数据管理,5.0,0.9,87.35,0.72,68.58
2023027834,女,人工智能,22.14,0.86,100.0,0.88,100.0
2023027835,女,工商管理,8.94,0.7,50.95,0.77,48.0
2023027836,男,大数据管理,13.13,0.65,67.58,0.73,74.12
2023027837,男,人工智能,17.36,0.76,52.95,0.88,60.19
2023027838,男,工商管理,23.37,0.75,99.0,0.77,74.0
2023027839,男,电子商务,25.18,0.7,74.5,0.96,79.64
2023027840,女,人工智能,24.96,0.89,80.72,0.7,86.25
2023027841,男,财务管理,21.6,0.7,64.34,0.88,66.38
2023027842,女,电子商务,10.01,0.66,83.45,0.96,82.19
2023027843,女,电子商务,17.91,0.95,68.05,0.77,55.04
2023027844,女,电子商务,11.18,0.64,87.22,0.99,62.22
2023027845,女,人工智能,17.83,0.64,76.82,0.94,72.72
2023027846,女,财务管理,25.39,0.7,68.38,0.95,75.22
2023027847,女,电子商务,23.78,0.85,96.15,0.8,95.05
2023027848,女,人工智能,17.44,0.65,74.64,1.0,76.06
2023027849,女,工商管理,38.37,0.93,50.6,0.8,63.02
2023027850,男,人工智能,19.87,0.83,75.55,0.84,74.45
2023027851,男,人工智能,8.02,0.64,75.91,0.83,69.63
2023027852,女,大数据管理,16.02,0.66,100.0,0.78,75.0
2023027853,女,大数据管理,20.25,0.9,76.09,0.7,71.82
2023027854,男,大数据管理,22.35,0.78,77.44,0.93,73.03
2023027855,女,电子商务,17.84,0.71,86.91,0.98,72.37
2023027856,女,大数据管理,38.28,0.76,66.39,0.98,81.51
2023027857,女,工商管理,22.44,0.75,35.95,0.83,43.9
2023027858,女,财务管理,14.99,0.79,80.76,0.99,78.04
2023027859,女,工商管理,10.53,0.93,75.73,0.86,74.88
2023027860,女,电子商务,34.98,0.95,90.91,0.98,99.02
2023027861,男,大数据管理,5.74,0.74,81.7,0.86,57.01
2023027862,女,工商管理,23.79,0.8,36.94,0.73,41.8
2023027863,男,财务管理,21.91,0.85,77.18,0.88,77.61
2023027864,女,财务管理,31.3,0.79,58.76,0.81,67.18
2023027865,男,大数据管理,31.3,0.93,75.99,0.73,98.43
2023027866,男,工商管理,5.0,0.99,83.47,0.76,74.8
2023027867,男,人工智能,27.61,0.85,83.26,1.0,83.56
2023027868,男,人工智能,15.65,1.0,79.73,0.7,71.76
2023027869,男,大数据管理,23.12,0.92,76.9,0.86,67.29
2023027870,女,大数据管理,16.64,0.76,79.33,0.99,78.81
2023027871,女,财务管理,20.93,0.63,83.93,0.79,73.09
2023027872,男,电子商务,29.72,0.89,51.6,0.84,66.01
2023027873,女,财务管理,26.94,0.82,58.52,0.85,68.5
2023027874,女,大数据管理,18.95,0.65,66.04,0.86,66.97
2023027875,女,人工智能,22.02,0.95,77.83,0.93,64.71
2023027876,女,人工智能,9.15,0.73,95.71,0.96,85.37
2023027877,女,人工智能,15.55,0.78,79.89,0.99,67.08
2023027878,男,人工智能,17.69,0.77,83.8,0.9,74.66
2023027879,女,人工智能,23.96,0.95,99.65,0.93,99.74
2023027880,男,人工智能,20.39,0.86,82.69,0.97,93.2
2023027881,女,财务管理,27.65,0.61,50.03,0.84,48.28
2023027882,男,电子商务,18.24,0.97,58.08,0.88,66.12
2023027883,女,人工智能,16.23,0.72,53.94,0.82,60.45
2023027884,男,工商管理,12.11,0.78,85.31,0.8,60.31
2023027885,男,人工智能,5.0,0.69,78.29,0.88,72.93
2023027886,女,工商管理,19.53,0.75,65.57,0.95,68.96
2023027887,女,人工智能,21.32,0.71,73.3,0.82,71.81
2023027888,男,人工智能,16.2,0.9,84.75,0.73,67.32
2023027889,男,电子商务,20.15,0.84,100.0,0.76,87.43
2023027890,男,工商管理,29.66,0.61,97.15,0.91,92.07
2023027891,女,大数据管理,11.01,0.86,66.29,0.93,66.73
2023027892,女,电子商务,22.92,0.69,70.23,0.79,64.86
2023027893,男,电子商务,29.34,1.0,81.37,0.76,78.54
2023027894,男,工商管理,18.69,0.77,68.17,0.76,68.04
2023027895,男,电子商务,18.17,0.67,67.75,0.72,64.29
2023027896,女,财务管理,16.24,0.97,100.0,0.98,94.88
2023027897,男,电子商务,7.22,0.83,64.72,0.82,56.34
2023027898,女,人工智能,8.21,0.69,70.63,0.86,51.47
2023027899,男,电子商务,15.28,0.79,74.17,0.8,71.61
2023027900,男,大数据管理,22.13,0.64,96.62,0.82,77.48
2023027901,女,人工智能,21.36,0.87,78.84,0.81,81.44
2023027902,男,大数据管理,16.89,0.63,69.1,0.91,66.18
2023027903,男,财务管理,19.57,0.93,78.08,0.83,80.49
2023027904,男,工商管理,14.18,0.64,66.88,0.94,55.47
2023027905,男,大数据管理,21.11,0.66,67.27,0.85,67.88
2023027906,女,大数据管理,21.24,0.61,71.43,0.99,64.81
2023027907,女,人工智能,28.33,0.8,85.03,0.73,70.9
2023027908,男,工商管理,19.51,0.65,66.26,0.72,56.57
2023027909,女,电子商务,16.67,0.68,59.95,0.89,57.36
2023027910,男,财务管理,22.22,0.84,77.56,0.91,85.83
2023027911,女,财务管理,22.3,0.86,76.49,0.77,69.43
2023027912,女,人工智能,32.62,0.77,68.35,0.99,68.33
2023027913,女,大数据管理,6.4,0.81,92.73,0.85,75.66
2023027914,女,人工智能,27.04,0.94,72.4,0.78,75.76
2023027915,男,电子商务,24.46,0.71,92.86,0.89,78.98
2023027916,男,大数据管理,16.58,0.72,75.33,0.98,70.23
2023027917,男,大数据管理,33.85,0.69,63.23,0.86,78.32
2023027918,男,人工智能,30.66,0.72,77.22,0.95,83.65
2023027919,男,人工智能,24.66,0.69,38.69,0.72,57.3
2023027920,女,工商管理,19.62,0.91,69.01,0.81,60.58
2023027921,男,电子商务,14.51,0.8,94.22,0.97,100.0
2023027922,女,财务管理,17.41,0.74,64.55,0.74,71.94
2023027923,男,工商管理,28.19,0.63,81.96,0.97,82.79
2023027924,女,人工智能,20.69,0.74,59.72,0.98,56.8
2023027925,男,工商管理,10.73,0.91,98.05,0.79,88.28
2023027926,男,电子商务,25.98,0.93,94.14,0.87,83.29
2023027927,男,人工智能,18.43,0.83,77.11,0.83,71.22
2023027928,女,电子商务,24.43,0.91,76.14,0.97,65.79
2023027929,男,工商管理,21.33,0.6,80.91,0.96,64.83
2023027930,女,工商管理,11.98,0.98,80.56,0.76,76.15
2023027931,女,财务管理,14.92,0.98,70.38,0.94,79.9
2023027932,女,人工智能,11.37,0.95,84.79,0.94,82.46
2023027933,男,大数据管理,17.93,0.7,48.79,0.96,63.67
2023027934,女,人工智能,14.52,0.61,78.83,0.92,69.07
2023027935,女,电子商务,17.28,0.78,69.19,0.9,65.08
2023027936,男,财务管理,13.7,1.0,100.0,0.98,88.98
2023027937,女,大数据管理,5.0,0.72,81.37,0.92,75.5
2023027938,男,财务管理,10.6,0.68,69.72,0.9,63.98
2023027939,男,财务管理,17.86,0.97,43.65,0.82,67.55
2023027940,男,财务管理,20.82,0.85,72.09,0.81,69.67
2023027941,男,大数据管理,7.99,0.93,64.18,0.91,54.62
2023027942,女,大数据管理,12.1,0.88,92.98,0.93,79.53
2023027943,男,人工智能,22.99,0.96,67.3,0.9,73.73
2023027944,男,人工智能,25.68,0.65,68.39,0.71,66.79
2023027945,女,工商管理,20.39,0.69,95.08,0.99,93.21
2023027946,男,财务管理,15.24,0.95,62.21,0.89,73.26
2023027947,男,电子商务,21.99,0.62,89.0,0.92,67.34
2023027948,女,电子商务,28.1,0.62,68.13,0.75,79.65
2023027949,男,大数据管理,12.13,0.75,93.92,0.83,68.92
2023027950,男,大数据管理,5.3,0.66,67.78,0.95,81.2
2023027951,男,财务管理,23.27,0.79,62.62,0.77,64.21
2023027952,女,大数据管理,19.82,0.92,74.63,0.72,70.25
2023027953,男,电子商务,7.29,1.0,45.23,0.88,53.86
2023027954,女,工商管理,23.06,0.99,62.76,0.92,74.49
2023027955,女,工商管理,5.83,0.72,81.01,0.89,67.53
2023027956,男,大数据管理,15.85,0.91,84.22,0.76,74.06
2023027957,女,电子商务,27.45,0.78,78.25,0.76,85.5
2023027958,女,电子商务,25.55,0.86,61.07,0.9,73.86
2023027959,男,电子商务,25.58,0.74,100.0,0.94,80.75
2023027960,男,大数据管理,32.74,0.98,63.09,0.7,78.12
2023027961,女,电子商务,22.07,0.73,76.68,0.99,79.22
2023027962,女,工商管理,13.39,0.77,79.6,0.96,67.79
2023027963,男,财务管理,9.39,0.6,53.7,0.74,58.8
2023027964,女,电子商务,18.68,0.63,65.86,0.78,62.12
2023027965,女,人工智能,9.94,0.89,100.0,0.71,77.04
2023027966,男,大数据管理,26.63,0.94,77.02,0.95,78.29
2023027967,男,电子商务,28.49,0.63,65.22,0.85,51.62
2023027968,男,人工智能,24.11,0.75,67.24,0.88,66.25
2023027969,女,电子商务,22.35,0.86,97.36,0.95,92.48
2023027970,女,电子商务,26.81,0.77,73.52,0.99,76.41
2023027971,女,电子商务,20.41,0.87,70.96,0.71,59.14
2023027972,男,电子商务,9.96,0.74,91.97,0.77,82.28
2023027973,女,人工智能,15.53,0.66,61.08,1.0,60.61
2023027974,女,大数据管理,10.0,0.72,68.87,0.95,53.42
2023027975,男,电子商务,23.91,0.65,69.74,0.8,85.35
2023027976,男,大数据管理,14.11,1.0,65.23,0.86,58.52
2023027977,女,人工智能,18.29,0.97,81.03,0.97,85.9
2023027978,男,人工智能,23.19,0.61,81.7,0.83,68.09
2023027979,女,工商管理,8.45,0.99,84.27,0.93,76.47
2023027980,女,电子商务,23.97,0.94,68.43,0.95,67.72
2023027981,女,工商管理,27.58,0.79,63.07,0.88,61.35
2023027982,女,大数据管理,27.55,0.69,96.36,0.99,90.96
2023027983,男,财务管理,25.42,0.92,58.36,0.91,72.3
2023027984,男,电子商务,24.82,0.81,67.01,0.73,77.66
2023027985,女,大数据管理,28.14,0.94,78.95,0.88,80.64
2023027986,女,工商管理,16.38,0.69,76.87,0.86,88.5
2023027987,女,财务管理,27.53,1.0,54.54,0.87,70.89
2023027988,男,财务管理,27.19,0.94,100.0,0.79,93.7
2023027989,男,工商管理,27.26,0.92,47.44,0.99,56.15
2023027990,女,财务管理,40.0,0.81,51.65,0.95,68.44
2023027991,男,人工智能,15.85,0.69,69.54,0.8,69.42
2023027992,男,电子商务,22.7,0.88,69.0,0.89,71.78
2023027993,女,人工智能,22.08,0.99,91.52,0.84,85.64
